timestamp,frame,tracking_lost,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_gesture,left_gesture_confidence,left_gesture_angle,right_gesture,right_gesture_confidence,right_gesture_angle
2.95115,41,0,0.612309,0.72259,-0.0687588,0.999897,0.345882,0.710267,-0.0024959,0.999756,0.785867,0.937565,-0.408187,0.98262,0.167104,0.897382,-0.379569,0.973605,0.743533,0.498748,-0.693827,0.997471,0.193302,0.505711,-0.911295,0.982595,pronation,1,0.313307,pronation,1,0.39551
3.01968,42,0,0.612051,0.723224,-0.0566661,0.999896,0.345013,0.713334,-0.0279902,0.999749,0.784692,0.938582,-0.378852,0.980885,0.183367,0.959148,-0.427317,0.970593,0.742301,0.499902,-0.690671,0.997544,0.221995,0.58358,-1.00872,0.983386,pronation,1,0.28386,pronation,1,0.325373
3.09094,43,0,0.604471,0.723845,0.0533759,0.999896,0.321448,0.688919,-0.0657739,0.999726,0.783643,0.938016,-0.203308,0.980191,0.181008,1.0299,-0.473211,0.95466,0.739983,0.506706,-0.501314,0.997637,0.252229,0.715693,-1.06896,0.983046,pronation,1,0.269037,none,0,0
3.1527,44,0,0.60655,0.727469,-0.0449097,0.999889,0.323459,0.719531,-0.166669,0.999524,0.783403,0.937528,-0.361485,0.980386,0.237662,1.17039,-0.249598,0.880396,0.735827,0.505878,-0.701461,0.997516,0.239631,1.468,-0.546638,0.907387,pronation,1,0.26164,none,0,0
3.22132,45,0,0.609295,0.731943,-0.016251,0.999847,0.324425,0.71843,-0.106234,0.99912,0.783465,0.940923,-0.361101,0.977667,0.239571,1.08157,-0.288092,0.81729,0.735003,0.506715,-0.69748,0.99715,0.269696,1.12593,-0.722056,0.847138,pronation,1,0.257818,none,0,0
3.29036,46,0,0.611435,0.731794,-0.0497416,0.999853,0.330088,0.714581,-0.0861943,0.999091,0.783558,0.940492,-0.419833,0.978328,0.240938,1.02282,-0.202667,0.753658,0.732861,0.507784,-0.766578,0.997201,0.236316,1.35524,-0.575716,0.783939,pronation,1,0.226454,none,0,0
3.35185,47,0,0.615545,0.731737,-0.0829541,0.999855,0.331083,0.712338,-0.106364,0.999027,0.786509,0.940219,-0.453383,0.978906,0.247056,1.00781,-0.1697,0.697266,0.73236,0.508952,-0.815604,0.997232,0.233081,1.41612,-0.473126,0.725518,pronation,0.928595,0.185719,none,0,0
3.41906,48,0,0.618113,0.731377,-0.0864224,0.999856,0.331517,0.708382,-0.126751,0.998968,0.790489,0.939979,-0.426442,0.979448,0.245692,0.998703,-0.153064,0.650473,0.732508,0.5109,-0.763831,0.997129,0.232848,1.43393,-0.419662,0.671542,pronation,0.802914,0.160583,none,0,0
3.49004,49,0,0.624127,0.728619,-0.0945653,0.999857,0.331782,0.707877,-0.13066,0.998878,0.792264,0.943343,-0.43834,0.979579,0.248293,1.10201,-0.150976,0.603861,0.732595,0.512199,-0.785562,0.997082,0.231237,1.45094,-0.417704,0.622697,pronation,0.675589,0.135118,none,0,0
3.55347,50,0,0.629219,0.727711,-0.0920137,0.999856,0.334286,0.706425,-0.123162,0.998759,0.795149,0.948676,-0.43664,0.979231,0.278093,1.2219,-0.0994281,0.561317,0.734421,0.517582,-0.79966,0.996871,0.251282,1.57934,-0.350803,0.574458,pronation,0.548232,0.109646,none,0,0
3.62162,51,0,0.633025,0.725484,-0.0863425,0.999861,0.337095,0.703729,-0.114118,0.99874,0.795758,0.962155,-0.430676,0.979113,0.274572,1.21798,-0.0701799,0.527704,0.736252,0.534659,-0.776003,0.996725,0.250603,1.58298,-0.302615,0.53393,pronation,0.548232,0.109646,none,0,0
3.69253,52,0,0.63653,0.722961,-0.083429,0.999866,0.339192,0.702874,-0.121612,0.998714,0.79627,0.968481,-0.430775,0.97887,0.28318,1.23212,-0.10811,0.490811,0.737103,0.544364,-0.8121,0.996624,0.25116,1.59411,-0.364831,0.494995,pronation,0.548232,0.109646,none,0,0
3.75455,53,0,0.637876,0.721127,-0.088701,0.999873,0.340446,0.701107,-0.117554,0.998676,0.812779,1.01107,-0.427033,0.977957,0.278637,1.22284,-0.0193194,0.458029,0.738175,0.546693,-0.7979,0.996605,0.250669,1.58279,-0.202394,0.457719,pronation,0.548232,0.109646,none,0,0
3.82186,54,0,0.639666,0.719967,-0.0966499,0.999876,0.34133,0.70106,-0.10794,0.998678,0.818361,1.01651,-0.442204,0.976775,0.27584,1.22022,-0.0250952,0.430084,0.738191,0.548305,-0.80009,0.996529,0.241468,1.59397,-0.216352,0.426944,pronation,0.548232,0.109646,none,0,0
